Driver,Compound,TyreLife,LapNumber,LapTimeS
STR,SOFT,5,5,99.974
STR,SOFT,6,6,99.805
STR,SOFT,7,7,99.855
STR,SOFT,8,8,100.399
STR,SOFT,9,9,100.148
STR,SOFT,10,10,100.519
STR,SOFT,11,11,100.47
STR,MEDIUM,2,14,99.024
STR,MEDIUM,3,15,99.375
STR,MEDIUM,4,16,99.093
STR,MEDIUM,5,17,99.699
STR,MEDIUM,6,18,99.259
STR,MEDIUM,7,19,99.515
STR,MEDIUM,8,20,98.667
STR,MEDIUM,9,21,99.226
STR,MEDIUM,10,22,99.091
STR,MEDIUM,11,23,99.143
STR,MEDIUM,12,24,98.927
STR,MEDIUM,13,25,99.458
STR,MEDIUM,14,26,99.265
STR,MEDIUM,15,27,99.457
STR,MEDIUM,16,28,100.283
STR,MEDIUM,17,29,99.736
STR,MEDIUM,18,30,100.035
STR,MEDIUM,19,31,99.387
STR,HARD,4,36,100.018
STR,HARD,5,37,98.606
STR,HARD,6,38,98.064
STR,HARD,7,39,98.329
STR,HARD,8,40,98.375
STR,HARD,9,41,98.655
STR,HARD,10,42,98.537
STR,HARD,11,43,98.896
STR,HARD,12,44,100.255
STR,HARD,13,45,98.28
STR,HARD,14,46,98.295
STR,HARD,15,47,98.352
STR,HARD,16,48,98.413
STR,HARD,17,49,98.648
STR,HARD,18,50,98.725
STR,HARD,19,51,98.627
STR,HARD,20,52,98.694
STR,HARD,21,53,98.796
STR,HARD,22,54,98.834
STR,HARD,23,55,99.064
STR,HARD,24,56,99.025
STR,HARD,25,57,98.98
TSU,SOFT,5,2,98.959
TSU,SOFT,6,3,98.565
TSU,SOFT,7,4,98.612
TSU,SOFT,8,5,99.37
TSU,SOFT,9,6,99.245
TSU,SOFT,10,7,99.366
TSU,SOFT,11,8,99.686
TSU,SOFT,12,9,100.727
TSU,SOFT,13,10,99.687
TSU,MEDIUM,2,13,98.009
TSU,MEDIUM,3,14,98.081
TSU,MEDIUM,4,15,98.323
TSU,MEDIUM,5,16,98.491
TSU,MEDIUM,6,17,98.658
TSU,MEDIUM,7,18,98.535
TSU,MEDIUM,8,19,98.914
TSU,MEDIUM,9,20,98.351
TSU,MEDIUM,10,21,98.68
TSU,MEDIUM,11,22,98.713
TSU,MEDIUM,12,23,98.888
TSU,MEDIUM,13,24,99.031
TSU,MEDIUM,14,25,99.067
TSU,MEDIUM,15,26,99.367
TSU,MEDIUM,16,27,99.528
TSU,MEDIUM,17,28,99.387
TSU,MEDIUM,18,29,98.71
TSU,MEDIUM,19,30,100.754
TSU,MEDIUM,20,31,100.477
TSU,SOFT,7,36,98.242
TSU,SOFT,8,37,97.64
TSU,SOFT,9,38,98.329
TSU,SOFT,10,39,97.814
TSU,SOFT,11,40,97.303
TSU,SOFT,12,41,97.495
TSU,SOFT,13,42,97.607
TSU,SOFT,14,43,97.727
TSU,SOFT,15,44,97.838
TSU,SOFT,16,45,97.225
TSU,SOFT,17,46,97.736
TSU,SOFT,18,47,97.646
TSU,SOFT,19,48,97.714
TSU,SOFT,20,49,97.831
TSU,SOFT,21,50,97.834
TSU,SOFT,22,51,98.273
TSU,SOFT,23,52,98.497
TSU,SOFT,24,53,98.399
TSU,SOFT,25,54,98.526
TSU,SOFT,26,55,98.539
TSU,SOFT,27,56,98.589
TSU,SOFT,28,57,98.861
VER,SOFT,5,2,98.403
VER,SOFT,6,3,98.475
VER,SOFT,7,4,98.549
VER,SOFT,8,5,98.76
VER,SOFT,9,6,98.593
VER,SOFT,10,7,98.929
VER,SOFT,11,8,99.385
VER,SOFT,12,9,99.67
VER,HARD,2,12,97.204
VER,HARD,3,13,98.327
VER,HARD,4,14,98.087
VER,HARD,5,15,98.287
VER,HARD,6,16,99.303
VER,HARD,7,17,98.408
VER,HARD,8,18,98.553
VER,HARD,9,19,98.515
VER,HARD,10,20,100.427
VER,HARD,11,21,98.948
VER,HARD,12,22,100.076
VER,HARD,13,23,98.433
VER,HARD,14,24,98.871
VER,HARD,15,25,99.492
VER,MEDIUM,2,28,97.09
VER,MEDIUM,3,29,96.167
VER,MEDIUM,4,30,96.694
VER,MEDIUM,5,31,98.04
VER,MEDIUM,10,36,98.622
VER,MEDIUM,11,37,97.345
VER,MEDIUM,12,38,96.171
VER,MEDIUM,13,39,96.67
VER,MEDIUM,14,40,97.059
VER,MEDIUM,15,41,96.922
VER,MEDIUM,16,42,97.163
VER,MEDIUM,17,43,97.095
VER,MEDIUM,18,44,97.038
VER,MEDIUM,19,45,97.385
VER,MEDIUM,20,46,97.351
VER,MEDIUM,21,47,97.369
VER,MEDIUM,22,48,97.484
VER,MEDIUM,23,49,97.62
VER,MEDIUM,24,50,97.684
VER,MEDIUM,25,51,98.075
VER,MEDIUM,26,52,98.065
VER,MEDIUM,27,53,98.435
VER,MEDIUM,28,54,98.398
VER,MEDIUM,29,55,98.687
VER,MEDIUM,30,56,98.016
VER,MEDIUM,31,57,97.662
